*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Main Board2
*Date=16:36:19
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
158;;;42.5577;-16.7132;0;Bottom;Copper Fill145
159;;;91.5924;-24.0538;0;Bottom;Copper Fill56
160;;;22.6822;-51.8668;0;Bottom;Copper Fill106
161;;;92.9386;-41.8338;0;Bottom;Copper Fill34
162;;;41.9862;-46.3804;0;Bottom;Copper Fill129
163;;;49.6062;-46.3804;0;Bottom;Copper Fill132
164;;;43.434;-15.8369;0;Bottom;Copper Fill148
165;;;31.8516;-22.6568;0;Bottom;Copper Fill57
166;;;25.2222;-51.8668;0;Bottom;Copper Fill3
167;;;62.3062;-51.8668;0;Bottom;Copper Fill17
168;;;62.3062;-51.8668;0;Bottom;Copper Fill120
169;;;27.051;-20.6121;0;Bottom;Copper Fill95
170;;;49.6316;-31.5214;0;Bottom;Copper Fill48
171;;;49.6062;-51.8668;0;Bottom;Copper Fill12
172;;;27.051;-20.6121;0;Bottom;Copper Fill173
173;;;89.8398;-40.6273;0;Bottom;Copper Fill181
174;;;29.6418;-14.6177;0;Bottom;Copper Fill162
175;;;81.3181;-43.8404;0;Bottom;Copper Fill102
176;;;88.011;-12.6873;0;Bottom;Copper Fill158
177;;;47.0662;-51.8668;0;Bottom;Copper Fill114
178;;;27.7622;-51.8668;0;Bottom;Copper Fill4
179;;;71.8402;-46.9209;0;Bottom;Via20
180;;;75.819;-33.0073;0;Bottom;Copper Fill92
181;;;39.8018;-47.5869;0;Bottom;Copper Fill65
182;;;57.2516;-49.4284;0;Bottom;Copper Fill30
183;;;44.5516;-38.481;0;Bottom;Copper Fill37
184;;;49.6062;-51.8668;0;Bottom;Copper Fill115
185;;;47.0662;-41.1226;0;Bottom;Copper Fill138
186;;;8.001;-14.6685;0;Bottom;Copper Fill177
187;;;26.4541;-49.911;0;Bottom;Copper Fill71
188;;;24.0157;-13.7414;0;Bottom;Copper Fill165
189;;;59.7662;-51.8668;0;Bottom;Copper Fill119
190;;THT;49.6152;-29.7759;-90;Bottom;Pedal Leds
191;;;92.9386;-44.3738;0;Bottom;Copper Fill32
192;;;29.6418;-14.6177;0;Bottom;Copper Fill84
193;;;37.9222;-51.8668;0;Bottom;Copper Fill112
194;;;7.0485;-15.6464;0;Bottom;Copper Fill174
195;;;22.5027;-37.682;0;Top;IMG1
196;;;7.0485;-13.6906;0;Bottom;Copper Fill175
197;;;57.2262;-41.1226;0;Bottom;Copper Fill142
198;;;91.5924;-31.6738;0;Bottom;Copper Fill52
199;;;97.4344;-7.6073;0;Bottom;Copper Fill75
200;;;43.7642;-50.3174;0;Bottom;Copper Fill10
201;;;41.9862;-41.1226;0;Bottom;Copper Fill136
202;;;52.1716;-5.2578;0;Bottom;Copper Fill61
203;;;7.07019;-24.6959;0;Top;Pad1
204;2.2k;1206 [SMD];45.8054;-35.1359;-90;Bottom;R7
205;;;82.6262;-51.8668;0;Bottom;Copper Fill23
206;;;40.4622;-51.8668;0;Bottom;Copper Fill113
207;2.2k;1206 [SMD];50.8854;-35.1359;-90;Bottom;R9
208;;;90.2462;-48.8188;0;Bottom;Copper Fill25
209;;;32.8422;-51.8668;0;Bottom;Copper Fill6
210;;;20.1422;-51.8668;0;Bottom;Copper Fill105
211;;;47.0916;-38.481;0;Bottom;Copper Fill38
